age,sex,weight_kg,height_cm,bmi,goal,fitness_level,sessions_per_week,session_duration_min,activity_level,has_gym,has_dumbbells,has_barbell,has_pullup_bar,injury_knee,injury_back,injury_shoulder,program_type
19,0,96.7,170,33.46,0,2,5,60,4,1,0,0,0,0,0,0,adv_fat_loss_gym_5x
30,1,45.0,173,15.04,1,1,4,44,3,1,1,1,0,0,0,0,int_muscle_gym_4x
44,0,98.2,175,32.07,2,0,4,32,3,0,1,0,0,0,0,0,beg_maintain_home_3x
19,1,62.7,169,21.95,1,0,2,50,3,0,1,0,0,0,0,0,beg_muscle_home_3x
48,1,65.4,158,26.2,1,0,4,41,4,0,1,0,0,0,0,0,beg_muscle_home_3x
26,1,72.1,161,27.82,0,0,3,39,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
31,1,63.2,164,23.5,0,2,4,77,5,1,0,0,0,0,0,0,adv_fat_loss_gym_5x
50,0,112.6,181,34.37,1,0,4,25,1,0,0,0,1,0,0,0,beg_muscle_home_3x
29,0,83.9,181,25.61,0,2,4,71,4,0,1,0,0,0,0,0,adv_fat_loss_gym_5x
50,1,62.8,160,24.53,2,0,2,27,1,0,0,0,1,1,1,0,beg_injury_safe_home_3x
50,0,90.5,173,30.24,2,1,4,48,2,0,0,0,1,0,0,0,int_maintain_gym_4x
35,1,54.3,156,22.31,0,1,3,30,4,0,0,0,1,0,1,0,beg_injury_safe_home_3x
21,0,65.0,174,21.47,1,1,4,44,4,0,0,0,1,0,0,0,int_muscle_home_4x
24,1,69.2,164,25.73,1,0,2,31,1,1,0,1,0,0,0,0,beg_muscle_gym_3x
40,1,59.5,158,23.83,1,0,2,46,1,1,0,1,0,0,0,0,beg_muscle_gym_3x
38,1,67.7,180,20.9,1,2,5,69,5,0,1,0,0,0,0,0,int_muscle_home_4x
20,1,70.4,163,26.5,0,0,2,25,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
37,1,70.2,179,21.91,0,1,5,54,2,0,1,0,0,1,0,0,beg_injury_safe_home_3x
49,0,66.4,189,18.59,2,2,6,50,4,1,0,1,1,0,0,0,int_maintain_gym_4x
53,0,88.9,167,31.88,0,1,3,45,3,0,1,0,1,0,0,0,int_fat_loss_home_4x
20,1,73.5,158,29.44,0,1,4,39,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
55,0,69.3,178,21.87,0,0,4,30,2,1,0,1,0,0,1,0,beg_injury_safe_home_3x
55,1,80.0,173,26.73,2,2,5,64,5,0,0,0,0,0,0,0,int_maintain_gym_4x
22,1,86.9,166,31.54,1,0,4,42,1,1,1,0,0,0,0,0,beg_muscle_gym_4x
21,1,57.4,161,22.14,2,1,3,35,4,1,0,1,1,0,0,0,int_maintain_gym_4x
32,1,82.4,161,31.79,2,0,2,29,1,0,0,0,1,0,0,0,beg_maintain_home_2x
31,1,60.1,180,18.55,1,0,3,54,2,0,0,0,1,0,0,0,beg_muscle_home_3x
47,1,72.4,164,26.92,2,1,4,36,4,0,1,0,0,0,0,0,int_maintain_gym_4x
18,1,67.1,159,26.54,0,0,4,33,1,0,1,0,0,0,0,0,beg_fat_loss_home_4x
26,1,56.4,166,20.47,0,0,3,43,3,1,0,1,0,0,0,0,beg_fat_loss_gym_3x
43,1,59.3,162,22.6,1,0,2,20,1,0,1,0,0,1,0,0,beg_injury_safe_home_3x
55,0,95.6,176,30.86,0,0,3,43,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
22,0,79.8,170,27.61,1,0,3,26,1,0,1,0,0,0,0,0,beg_muscle_home_3x
30,0,90.7,179,28.31,0,0,2,44,3,0,1,0,1,0,0,1,beg_injury_safe_home_3x
22,0,94.0,162,35.82,0,1,5,48,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
39,1,86.4,177,27.58,0,1,4,51,1,1,0,1,0,0,0,0,int_fat_loss_gym_4x
18,0,62.1,174,20.51,1,1,5,34,3,1,0,1,1,0,0,0,int_muscle_gym_4x
53,1,75.7,175,24.72,0,2,4,68,4,0,1,0,0,0,1,0,beg_injury_safe_home_3x
49,1,76.9,164,28.59,0,2,4,47,4,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
53,1,58.1,163,21.87,1,0,3,49,1,1,0,1,0,0,0,0,beg_muscle_gym_3x
35,0,80.4,164,29.89,0,1,5,44,4,0,1,0,0,0,0,0,int_fat_loss_home_4x
34,1,87.9,162,33.49,0,1,5,57,3,0,1,0,1,0,0,0,int_fat_loss_home_4x
35,1,65.4,170,22.63,0,0,3,32,3,1,0,1,0,0,0,0,beg_fat_loss_gym_3x
55,1,58.0,162,22.1,0,0,2,37,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
52,1,51.7,170,17.89,2,0,3,38,2,1,0,1,1,0,0,0,int_maintain_gym_3x
22,0,67.9,173,22.69,0,0,4,27,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
50,0,85.6,172,28.93,0,0,2,31,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
18,0,106.4,176,34.35,0,1,5,53,2,1,1,1,0,0,0,0,int_fat_loss_gym_5x
27,0,92.1,184,27.2,2,0,2,20,1,0,1,0,0,0,0,0,beg_maintain_home_2x
49,1,51.1,167,18.32,0,0,2,37,2,0,0,0,0,0,0,0,beg_fat_loss_home_3x
55,1,56.1,163,21.11,1,0,2,26,2,1,0,1,0,0,0,0,beg_muscle_gym_3x
41,1,67.8,155,28.22,1,1,5,56,4,1,0,0,0,0,0,0,int_muscle_gym_5x
31,1,63.7,172,21.53,1,1,3,51,4,0,0,0,0,0,0,0,int_muscle_home_4x
22,0,85.3,183,25.47,0,0,3,35,3,0,0,0,1,0,0,0,beg_fat_loss_home_3x
43,0,85.7,180,26.45,1,1,4,42,3,0,0,0,1,0,0,0,int_muscle_home_4x
38,0,93.8,177,29.94,0,2,5,51,3,0,1,0,0,0,0,0,adv_fat_loss_gym_5x
53,1,70.3,159,27.81,1,1,3,52,3,0,1,0,0,0,0,0,int_muscle_home_4x
28,0,95.9,174,31.68,0,0,2,25,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
23,1,98.7,172,33.36,2,2,6,69,4,1,1,0,0,0,0,0,int_maintain_gym_4x
37,1,74.5,165,27.36,1,2,5,75,5,0,1,0,1,0,0,0,int_muscle_home_4x
19,0,64.6,181,19.72,2,1,3,49,3,0,1,0,1,0,0,0,int_maintain_gym_4x
52,1,69.2,162,26.37,0,0,2,36,1,1,0,0,1,0,0,0,beg_fat_loss_gym_3x
49,0,70.4,176,22.73,0,0,2,21,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
42,0,86.6,182,26.14,0,0,4,38,2,0,1,0,0,0,0,0,beg_fat_loss_home_4x
55,1,48.0,150,21.33,0,1,4,36,1,1,0,1,0,0,0,1,int_injury_safe_gym_3x
41,0,78.8,171,26.95,2,1,3,47,2,1,0,1,0,0,0,0,int_maintain_gym_4x
51,1,72.4,167,25.96,2,0,2,49,1,0,0,0,1,0,0,0,beg_maintain_home_2x
33,1,70.0,162,26.67,0,2,4,59,3,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
21,1,45.0,156,18.49,1,0,2,33,3,0,1,0,0,0,1,0,beg_injury_safe_home_3x
52,0,64.3,174,21.24,1,0,4,42,4,0,1,0,0,0,0,0,beg_muscle_home_3x
50,1,85.2,158,34.13,0,0,3,40,1,0,1,0,0,0,0,0,beg_fat_loss_home_3x
32,0,79.5,183,23.74,0,0,2,31,3,0,1,0,1,0,0,0,beg_fat_loss_home_3x
40,0,101.5,182,30.64,2,0,2,47,1,0,0,0,1,1,0,0,beg_injury_safe_home_3x
27,0,80.8,183,24.13,2,0,3,20,2,0,1,0,0,0,0,0,beg_maintain_home_3x
54,0,70.7,166,25.66,0,1,4,38,4,0,1,0,1,0,0,0,int_fat_loss_home_4x
53,1,50.8,162,19.36,2,1,4,40,2,1,0,0,1,0,0,0,int_maintain_gym_4x
32,0,83.2,167,29.83,0,1,3,66,3,1,1,1,0,0,0,0,int_fat_loss_gym_4x
40,1,62.4,181,19.05,1,0,3,37,2,1,0,0,0,1,0,0,beg_injury_safe_home_3x
53,0,84.9,168,30.08,1,0,2,34,2,0,1,0,0,0,1,0,beg_injury_safe_home_3x
25,0,97.4,187,27.85,1,1,5,50,4,0,1,0,0,0,0,0,int_muscle_home_4x
44,0,75.6,157,30.67,0,0,4,33,2,0,1,0,1,0,0,0,beg_fat_loss_home_4x
50,1,72.2,176,23.31,1,2,4,70,4,0,1,0,1,0,1,0,beg_injury_safe_home_3x
38,0,87.2,177,27.83,2,1,4,48,3,0,0,0,1,0,0,0,int_maintain_gym_4x
22,1,81.8,167,29.33,1,1,4,31,3,1,1,0,1,0,0,0,int_muscle_gym_4x
37,0,45.0,174,14.86,1,0,3,50,2,0,1,0,0,0,0,1,beg_injury_safe_home_3x
28,1,71.1,163,26.76,1,1,4,40,2,1,0,0,0,0,0,0,int_muscle_gym_4x
34,1,65.5,170,22.66,1,0,4,54,1,1,0,1,1,0,0,0,beg_muscle_gym_4x
48,0,86.3,189,24.16,1,2,4,64,3,0,0,0,1,0,0,0,int_muscle_home_4x
22,0,65.0,173,21.72,0,0,2,36,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
45,0,108.0,177,34.47,0,0,2,48,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
50,0,45.0,169,15.76,2,2,5,65,5,0,1,0,1,1,0,0,beg_injury_safe_home_3x
42,0,66.6,192,18.07,2,1,5,45,1,0,1,0,0,0,0,0,int_maintain_gym_4x
39,1,69.7,168,24.7,0,0,2,36,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
47,1,51.2,160,20.0,1,0,2,40,2,0,1,0,0,0,0,0,beg_muscle_home_3x
49,1,65.4,157,26.53,1,2,4,73,3,1,1,1,0,0,0,0,adv_muscle_gym_5x
39,0,60.3,168,21.36,1,1,4,47,4,0,1,0,0,0,0,0,int_muscle_home_4x
35,0,75.6,168,26.79,1,0,2,42,5,0,1,0,0,0,0,0,beg_muscle_home_3x
33,1,55.9,166,20.29,0,1,5,51,4,0,1,0,0,0,0,0,int_fat_loss_home_4x
29,1,66.8,160,26.09,0,1,3,43,4,0,0,0,0,0,0,0,int_fat_loss_home_4x
55,1,63.6,165,23.36,1,0,2,25,2,0,0,0,1,0,0,0,beg_muscle_home_3x
54,0,81.8,183,24.43,2,0,2,32,2,0,1,0,0,0,0,0,beg_maintain_home_2x
41,0,86.3,178,27.24,2,0,4,47,1,0,1,0,0,0,0,0,beg_maintain_home_3x
31,0,83.5,174,27.58,0,2,5,56,5,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
48,1,51.5,166,18.69,1,1,3,46,2,0,1,0,0,0,0,0,int_muscle_home_4x
31,0,78.4,182,23.67,2,2,5,85,5,0,1,0,1,0,0,0,int_maintain_gym_4x
19,0,72.6,171,24.83,2,1,3,46,2,0,0,0,0,0,0,0,int_maintain_gym_4x
27,1,82.7,162,31.51,1,0,3,33,1,0,0,0,1,0,0,0,beg_muscle_home_3x
55,1,72.5,171,24.79,1,1,4,37,3,0,1,0,0,0,0,0,int_muscle_home_4x
21,0,67.2,183,20.07,1,0,4,27,2,0,1,0,0,0,0,0,beg_muscle_home_3x
42,1,74.7,173,24.96,1,0,3,46,1,0,1,0,0,0,0,0,beg_muscle_home_3x
18,1,61.4,166,22.28,1,0,3,34,2,0,1,0,0,0,0,0,beg_muscle_home_3x
23,1,65.0,167,23.31,2,1,3,54,4,0,1,0,1,0,0,0,int_maintain_gym_4x
38,0,50.5,176,16.3,2,0,4,43,2,0,0,0,1,0,0,0,beg_maintain_home_3x
19,1,71.9,167,25.78,1,1,3,34,1,1,0,1,0,0,0,0,int_muscle_gym_4x
46,0,74.6,170,25.81,0,0,2,41,1,0,1,0,1,1,0,1,beg_injury_safe_home_3x
26,1,82.0,158,32.85,1,2,5,54,3,1,1,0,0,0,0,0,adv_strength_gym_5x
54,1,73.8,154,31.12,0,0,2,39,1,1,1,1,0,1,0,0,beg_injury_safe_home_3x
26,1,55.6,171,19.01,1,0,4,46,3,1,1,1,0,0,0,0,beg_muscle_gym_4x
18,1,51.1,168,18.11,0,1,5,41,4,0,1,0,0,1,0,0,beg_injury_safe_home_3x
37,1,51.9,156,21.33,1,1,3,55,1,0,1,0,1,0,0,0,int_muscle_home_4x
35,1,80.5,159,31.84,0,2,5,57,2,1,0,1,0,0,0,0,adv_fat_loss_gym_5x
43,1,54.5,159,21.56,1,1,5,45,2,1,0,0,0,0,0,0,int_muscle_gym_4x
51,0,76.2,173,25.46,0,1,4,64,2,1,0,1,0,0,0,0,int_fat_loss_gym_4x
30,0,83.0,164,30.86,0,0,3,31,1,0,1,0,0,0,1,0,beg_injury_safe_home_3x
21,1,71.5,167,25.64,0,1,5,41,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
38,0,95.7,168,33.91,0,0,2,39,2,0,1,0,0,0,0,0,beg_fat_loss_home_3x
21,0,86.7,182,26.17,1,2,4,77,4,1,0,0,0,0,0,0,adv_muscle_gym_5x
44,1,66.4,162,25.3,0,1,3,34,2,1,0,1,0,0,0,0,int_fat_loss_gym_4x
39,0,81.4,181,24.85,0,0,4,23,1,0,1,0,1,0,0,0,beg_fat_loss_home_3x
33,1,85.7,156,35.22,0,1,5,44,2,0,1,0,0,1,0,0,beg_injury_safe_home_3x
27,1,65.7,163,24.73,0,0,2,46,3,0,1,0,1,0,1,0,beg_injury_safe_home_3x
19,1,57.4,162,21.87,2,1,4,30,5,0,0,0,0,0,0,0,int_maintain_gym_4x
47,0,70.0,165,25.71,0,1,4,49,3,0,1,0,0,0,0,1,beg_injury_safe_home_3x
50,0,81.5,178,25.72,2,0,3,55,1,0,1,0,0,0,0,0,beg_maintain_home_3x
33,1,66.2,171,22.64,2,1,3,47,3,0,0,0,1,0,0,0,int_maintain_gym_4x
53,1,56.4,167,20.22,0,1,3,37,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
25,0,68.7,180,21.2,1,0,4,55,1,1,1,0,0,0,0,0,beg_muscle_gym_4x
42,0,68.1,173,22.75,1,0,4,54,2,1,0,1,0,1,1,0,beg_injury_safe_home_3x
21,0,55.6,170,19.24,2,0,3,39,1,0,1,0,0,0,1,0,beg_injury_safe_home_3x
44,0,77.0,178,24.3,0,1,3,52,4,0,1,0,0,0,0,0,int_fat_loss_home_4x
34,1,76.8,169,26.89,1,0,3,31,2,0,1,0,0,0,0,0,beg_muscle_home_3x
40,1,67.8,158,27.16,1,0,4,29,2,0,1,0,0,0,0,0,beg_muscle_home_3x
47,1,61.3,159,24.25,2,1,5,59,2,0,1,0,1,1,0,1,beg_injury_safe_home_3x
29,0,46.7,182,14.1,1,0,4,39,2,0,1,0,0,0,0,0,beg_muscle_home_3x
31,1,72.3,169,25.31,2,0,3,27,4,0,1,0,1,0,0,0,beg_maintain_home_3x
23,1,79.8,153,34.09,0,1,4,52,4,1,0,1,0,0,0,0,int_fat_loss_gym_4x
45,1,79.0,162,30.1,0,2,5,66,4,0,1,0,1,1,0,0,beg_injury_safe_home_3x
51,1,80.5,165,29.57,0,1,4,70,3,1,0,0,0,0,0,0,int_fat_loss_gym_4x
35,0,96.0,186,27.75,0,0,3,37,2,1,0,1,1,0,0,0,beg_fat_loss_gym_3x
29,0,91.7,197,23.63,1,0,4,32,4,0,1,0,0,0,0,0,beg_muscle_home_3x
39,0,88.7,182,26.78,2,2,5,50,4,0,1,0,0,0,0,0,int_maintain_gym_4x
25,1,82.8,180,25.56,0,1,4,30,4,1,0,1,1,0,0,0,int_fat_loss_gym_4x
44,0,78.8,178,24.87,2,1,4,47,1,0,1,0,0,0,0,0,int_maintain_gym_4x
36,0,84.3,166,30.59,0,1,3,41,2,1,0,1,0,0,0,0,int_fat_loss_gym_4x
21,1,60.7,166,22.03,2,1,3,54,1,1,0,1,0,0,0,0,int_maintain_gym_4x
19,0,101.7,176,32.83,0,0,4,29,2,1,0,0,0,0,0,0,beg_fat_loss_gym_3x
47,1,53.2,159,21.04,1,0,2,34,3,0,1,0,0,0,0,0,beg_muscle_home_3x
36,0,74.4,174,24.57,2,2,6,46,4,1,0,1,0,0,0,0,int_maintain_gym_4x
26,0,69.2,173,23.12,0,1,3,30,3,1,0,0,1,0,0,0,int_fat_loss_gym_4x
37,1,86.8,163,32.67,0,1,5,50,3,1,1,1,0,0,0,0,int_fat_loss_gym_5x
54,0,90.7,173,30.31,0,1,3,52,4,0,1,0,0,0,1,0,beg_injury_safe_home_3x
41,0,85.0,188,24.05,1,0,4,49,3,1,1,1,0,1,0,0,beg_injury_safe_home_3x
41,0,105.0,176,33.9,0,2,4,75,5,1,0,1,1,1,0,0,int_injury_safe_gym_3x
50,0,77.6,179,24.22,0,0,4,35,3,0,1,0,0,0,0,0,beg_fat_loss_home_4x
46,1,61.3,162,23.36,1,0,2,21,3,0,1,0,0,0,0,0,beg_muscle_home_3x
32,0,85.0,188,24.05,2,2,6,89,5,1,0,1,0,0,0,0,int_maintain_gym_4x
36,1,64.1,166,23.26,1,0,4,41,3,0,1,0,0,0,0,0,beg_muscle_home_3x
49,1,68.7,173,22.95,1,1,5,50,1,0,1,0,0,0,0,0,int_muscle_home_4x
22,1,81.9,161,31.6,0,0,2,33,2,1,0,0,0,1,0,0,beg_injury_safe_home_3x
36,1,64.9,160,25.35,1,1,4,46,4,0,1,0,0,0,0,0,int_muscle_home_4x
27,0,79.4,172,26.84,1,2,6,69,3,1,0,0,0,0,0,1,int_injury_safe_gym_3x
43,0,66.4,177,21.19,1,0,3,22,3,0,1,0,1,0,0,0,beg_muscle_home_3x
26,1,58.0,164,21.56,0,1,3,44,3,0,1,0,0,0,0,0,int_fat_loss_home_4x
52,0,89.7,173,29.97,0,0,2,41,3,0,1,0,0,0,0,0,beg_fat_loss_home_3x
47,0,70.3,184,20.76,0,0,3,35,3,0,1,0,1,0,0,0,beg_fat_loss_home_3x
37,1,66.7,167,23.92,1,2,6,40,4,1,0,1,0,0,0,0,adv_muscle_gym_5x
48,0,89.9,177,28.7,1,0,2,48,1,0,1,0,1,0,0,0,beg_muscle_home_3x
46,1,60.6,161,23.38,2,0,4,37,2,0,1,0,0,0,0,0,beg_maintain_home_3x
43,1,94.5,163,35.57,0,0,4,36,3,0,1,0,1,0,0,0,beg_fat_loss_home_4x
33,0,57.3,175,18.71,1,1,3,42,4,1,0,1,0,1,0,0,int_injury_safe_gym_3x
26,0,54.5,173,18.21,1,0,3,34,2,0,0,0,0,0,0,0,beg_muscle_home_3x
38,0,70.7,188,20.0,1,0,3,37,1,1,0,1,0,0,0,0,beg_muscle_gym_3x
43,0,89.5,185,26.15,1,1,3,65,1,1,1,1,1,0,0,0,int_muscle_gym_4x
18,0,71.1,168,25.19,0,0,2,44,1,0,1,0,1,0,0,0,beg_fat_loss_home_3x
18,0,65.6,182,19.8,0,0,4,41,2,0,0,0,0,0,0,0,beg_fat_loss_home_4x
34,1,79.4,166,28.81,0,1,5,41,4,0,1,0,0,0,0,0,int_fat_loss_home_4x
35,0,100.0,176,32.28,2,0,2,43,1,0,0,0,1,0,0,1,beg_injury_safe_home_3x
36,1,49.9,158,19.99,1,1,4,30,2,0,1,0,0,0,0,1,beg_injury_safe_home_3x
48,0,85.5,172,28.9,0,0,4,31,2,0,1,0,0,0,0,0,beg_fat_loss_home_4x
37,1,57.1,161,22.03,0,1,3,43,3,1,0,1,0,0,0,0,int_fat_loss_gym_4x
53,0,63.2,178,19.95,1,1,5,57,2,0,1,0,0,0,0,0,int_muscle_home_4x
53,0,71.0,169,24.86,2,0,2,46,1,0,0,0,0,0,0,0,beg_maintain_home_2x
27,0,99.9,165,36.69,1,1,4,55,4,1,1,0,0,0,0,0,int_muscle_gym_4x
27,0,75.9,183,22.66,1,0,2,37,2,0,1,0,1,0,0,0,beg_muscle_home_3x
20,0,57.6,178,18.18,2,1,5,51,2,0,1,0,1,0,0,0,int_maintain_gym_4x
29,1,92.6,161,35.72,2,0,3,39,3,0,1,0,0,0,0,0,beg_maintain_home_3x
34,1,64.3,174,21.24,0,0,2,53,1,0,1,0,0,0,1,0,beg_injury_safe_home_3x
18,1,45.0,162,17.15,1,0,4,32,3,1,1,1,0,0,0,0,beg_muscle_gym_4x
52,1,50.3,152,21.77,1,0,4,37,3,1,0,1,1,0,0,0,beg_muscle_gym_4x
40,1,78.1,167,28.0,2,0,2,39,2,0,1,0,0,0,0,0,beg_maintain_home_2x
24,1,75.7,168,26.82,1,0,3,35,3,1,0,1,0,0,0,0,beg_muscle_gym_3x
37,0,82.4,195,21.67,2,0,4,25,3,0,1,0,0,1,0,0,beg_injury_safe_home_3x
50,0,79.9,171,27.32,1,0,4,30,2,1,1,1,1,1,0,0,beg_injury_safe_home_3x
20,1,57.0,172,19.27,0,0,4,33,3,1,0,0,0,0,0,0,beg_fat_loss_gym_4x
31,1,65.5,164,24.35,2,0,2,43,1,0,1,0,1,0,0,0,beg_maintain_home_2x
41,0,62.5,172,21.13,1,0,2,32,2,0,1,0,1,0,0,0,beg_muscle_home_3x
53,1,65.6,160,25.62,0,0,2,36,2,1,0,0,0,0,0,0,beg_fat_loss_gym_3x
20,0,91.7,180,28.3,1,1,3,74,3,1,0,1,1,0,0,0,int_muscle_gym_4x
21,0,79.3,173,26.5,2,0,2,46,3,0,1,0,0,0,0,0,beg_maintain_home_2x
28,0,90.9,178,28.69,2,1,5,54,2,1,0,1,0,0,0,0,int_maintain_gym_4x
44,0,75.0,172,25.35,0,0,4,34,1,1,0,0,1,0,0,0,beg_fat_loss_gym_4x
24,1,78.3,163,29.47,0,1,4,37,4,1,0,1,1,0,0,0,int_fat_loss_gym_4x
31,0,96.9,168,34.33,0,0,3,42,1,0,1,0,0,1,0,0,beg_injury_safe_home_3x
25,0,64.9,188,18.36,2,2,4,65,4,1,0,1,1,0,0,0,int_maintain_gym_4x
34,1,54.9,167,19.69,1,1,3,64,2,1,0,1,0,0,0,1,int_injury_safe_gym_3x
30,0,64.7,178,20.42,1,0,3,46,2,0,1,0,1,0,0,0,beg_muscle_home_3x
32,0,53.2,175,17.37,0,0,4,32,3,0,1,0,0,0,0,0,beg_fat_loss_home_4x
50,0,74.3,185,21.71,1,1,4,43,3,1,0,0,1,0,0,0,int_muscle_gym_4x
52,1,76.3,177,24.35,0,2,5,59,4,0,0,0,1,0,0,0,adv_fat_loss_gym_5x
33,0,77.7,184,22.95,1,2,6,69,4,1,1,1,0,1,0,0,int_injury_safe_gym_3x
48,1,65.2,163,24.54,1,0,3,35,3,0,1,0,0,1,0,0,beg_injury_safe_home_3x
20,1,47.4,169,16.6,1,0,4,35,1,1,0,1,0,0,0,0,beg_muscle_gym_4x
27,0,72.7,186,21.01,0,0,2,40,2,1,0,1,1,1,0,0,beg_injury_safe_home_3x
27,0,59.3,167,21.26,1,0,2,53,1,1,0,0,0,0,1,0,beg_injury_safe_home_3x
18,0,79.7,180,24.6,2,1,4,45,1,1,0,0,0,0,0,0,int_maintain_gym_4x
34,1,74.9,167,26.86,1,1,5,47,1,0,0,0,0,0,0,0,int_muscle_home_4x
41,1,60.7,165,22.3,1,1,3,75,3,1,0,1,0,1,0,0,int_injury_safe_gym_3x
41,1,87.5,168,31.0,1,2,6,58,5,0,0,0,0,0,0,0,int_muscle_home_4x
22,1,65.8,165,24.17,1,0,3,43,3,1,0,1,1,1,0,0,beg_injury_safe_home_3x
45,1,53.7,166,19.49,2,1,4,61,1,0,1,0,1,0,0,0,int_maintain_gym_4x
50,0,58.4,184,17.25,1,0,3,34,3,0,1,0,0,0,0,0,beg_muscle_home_3x
29,1,75.5,172,25.52,1,1,5,62,3,1,0,1,0,0,0,0,int_muscle_gym_5x
46,1,62.2,171,21.27,2,0,3,29,3,0,1,0,0,0,0,0,beg_maintain_home_3x
35,1,77.9,161,30.05,2,2,4,53,4,0,1,0,1,0,0,0,int_maintain_gym_4x
23,1,54.0,155,22.48,0,1,5,34,4,1,0,0,0,0,0,0,int_fat_loss_gym_4x
27,0,68.6,184,20.26,1,1,3,53,2,0,1,0,0,0,0,0,int_muscle_home_4x
20,0,56.1,185,16.39,2,1,3,61,5,1,1,0,1,1,0,0,int_injury_safe_gym_3x
46,0,86.9,169,30.43,0,0,2,39,3,1,1,1,0,1,0,0,beg_injury_safe_home_3x
27,0,108.8,182,32.85,0,0,4,48,4,0,1,0,0,0,0,0,beg_fat_loss_home_4x
29,1,94.9,162,36.16,0,0,2,38,3,0,1,0,1,0,0,0,beg_fat_loss_home_3x
40,0,91.0,188,25.75,2,0,3,47,1,0,1,0,1,0,0,0,beg_maintain_home_3x
21,1,68.9,163,25.93,1,1,3,55,4,0,0,0,0,0,0,0,int_muscle_home_4x
36,1,62.9,164,23.39,2,0,2,26,3,0,1,0,0,0,0,0,beg_maintain_home_2x
52,1,65.6,173,21.92,1,1,3,48,3,1,1,1,0,0,0,0,int_muscle_gym_4x
29,1,68.8,162,26.22,1,0,2,22,1,0,1,0,1,0,0,0,beg_muscle_home_3x
33,0,88.6,170,30.66,1,1,3,52,5,1,0,1,0,0,0,0,int_muscle_gym_4x
44,0,78.8,183,23.53,2,0,3,30,1,0,0,0,1,0,0,0,beg_maintain_home_3x
18,0,76.8,181,23.44,0,1,3,39,4,0,1,0,0,0,1,0,beg_injury_safe_home_3x
18,0,83.9,181,25.61,1,2,4,64,3,0,0,0,1,0,1,0,beg_injury_safe_home_3x
23,0,74.8,197,19.27,1,1,5,54,5,1,0,1,0,0,0,0,int_muscle_gym_5x
